seed,success,iterations,elapsed_time
6,1,9,104.56
7,1,24,408.53
8,1,21,240.22
33,0,25,344.46
34,1,7,33.79
35,0,25,225.66
36,1,25,384.89
37,0,25,324.99
38,0,25,531.54
39,1,23,322.56
40,1,10,93.61
41,1,7,34.10
42,1,14,136.20
43,1,7,31.18
44,0,25,490.85
45,1,12,104.94
46,0,25,380.59
47,1,22,296.07
48,0,25,462.75
49,1,7,45.54
50,1,4,15.86
10,0,25,326.96
11,1,12,154.32
9,0,25,458.27
12,1,7,73.06
13,0,25,450.11
14,1,8,51.14
15,1,13,120.95
16,0,25,259.64
17,0,25,321.08
18,0,25,619.35
19,1,12,123.32
20,1,15,207.62
21,1,16,158.53
22,0,25,728.66
23,1,9,54.40
24,1,5,30.82
25,0,25,277.19
26,1,4,29.56
27,1,6,36.68
28,1,12,133.31
29,0,25,528.95
30,0,25,318.69
31,0,25,282.83
32,1,17,283.75
