seed,success,iterations,elapsed_time
10,0,25,482.72
11,0,25,544.42
12,1,22,425.07
13,1,6,22.83
14,1,16,177.97
15,1,8,35.14
16,1,4,13.36
17,1,7,41.00
18,1,17,201.82
19,1,5,15.63
20,1,4,14.86
21,1,21,306.84
22,0,25,699.98
23,1,7,44.60
24,0,25,431.10
25,0,20,406.96
26,0,25,473.82
27,1,4,13.16
28,0,25,644.31
29,0,25,640.47
30,1,17,630.91
31,0,25,419.20
32,0,25,605.09
33,0,25,660.31
34,1,7,64.75
35,0,25,414.63
36,0,25,427.19
37,1,13,127.50
38,0,25,629.33
39,1,4,12.33
40,1,25,542.53
41,1,14,126.86
42,0,25,333.85
43,0,24,562.55
44,1,18,303.20
45,1,16,250.84
46,0,25,526.09
47,0,25,516.86
48,1,11,122.07
49,0,25,458.30
50,0,25,407.27
51,0,25,550.09
52,0,25,1022.55
53,0,25,391.43
54,1,4,14.93
55,1,13,119.66
56,0,25,454.89
6,0,25,501.97
7,0,25,362.56
8,1,11,94.49
9,0,25,405.83
