seed,success,iterations,elapsed_time
6,1,19,222.21
7,1,13,81.53
8,1,24,272.78
33,0,25,617.87
34,1,8,48.31
35,0,25,349.57
36,0,25,258.14
37,1,16,167.91
38,0,25,429.92
39,0,25,333.68
40,1,14,147.44
41,1,5,23.38
42,1,7,25.97
43,0,25,380.32
44,0,25,322.91
45,1,14,165.13
46,0,25,364.98
47,1,5,17.20
48,1,25,328.99
49,0,25,368.52
50,1,5,16.59
51,0,25,272.74
52,1,6,23.86
53,1,5,16.55
54,1,9,43.80
55,1,12,108.49
56,1,21,248.48
10,1,7,35.20
11,0,25,606.77
9,1,22,203.66
12,1,5,22.63
13,0,25,447.38
14,1,9,56.51
15,1,6,24.48
16,0,25,396.76
17,1,12,74.94
18,0,25,304.16
19,1,4,25.92
20,1,7,36.51
21,1,4,13.89
22,0,25,303.62
23,1,10,55.59
24,0,25,431.51
25,0,25,372.46
26,0,25,298.49
27,0,25,216.91
28,1,10,108.07
29,0,25,464.16
30,1,9,72.26
31,0,25,235.29
32,1,4,18.18
