seed,success,iterations,elapsed_time
10,0,25,388.29
6,1,20,225.14
7,1,23,289.18
8,0,25,275.55
9,0,25,335.00
51,1,20,243.02
52,0,25,379.27
53,1,15,194.67
54,1,22,280.29
55,1,4,19.55
11,0,25,466.01
12,0,25,425.18
13,1,22,176.24
14,0,25,452.95
15,1,14,216.17
16,0,25,277.56
17,1,8,49.13
18,1,4,17.47
19,1,12,117.06
20,0,25,356.00
21,1,20,298.19
22,1,12,105.12
23,1,18,130.17
24,0,25,403.38
25,0,25,456.56
26,0,25,360.86
27,0,25,436.93
28,0,25,663.91
29,0,25,708.66
30,1,19,236.72
31,0,25,506.48
32,0,25,446.93
33,1,13,294.98
34,1,10,73.54
35,0,25,652.50
36,1,6,42.23
37,1,6,24.78
38,1,24,260.56
39,0,25,398.16
40,0,11,175.33
41,1,8,56.90
42,1,19,257.26
43,1,5,25.94
44,1,13,127.78
45,1,9,54.49
46,1,13,82.88
47,0,25,388.40
48,1,13,134.58
49,0,25,247.45
50,1,25,304.96
